index	parent_id
1	13:103498194:NA:NA
2	13:105009320:NA:NA
3	13:107771357:NA:NA
4	13:111077957:NA:NA
5	13:114608711:NA:NA
6	13:115079426:NA:NA
7	13:22108885:NA:NA
8	13:23368564:NA:NA
9	13:23566896:NA:NA
10	13:24471999:NA:NA
11	13:24472619:NA:NA
12	13:24560949:NA:NA
13	13:27172995:NA:NA
14	13:27566080:NA:NA
15	13:31377209:NA:NA
16	13:31422000:NA:NA
17	13:31801409:NA:NA
18	13:41543889:NA:NA
19	13:47125346:NA:NA
20	13:49554348:NA:NA
21	13:60275701:NA:NA
22	13:65669489:NA:NA
23	13:67247344:NA:NA
24	13:73110969:NA:NA
25	13:78451610:NA:NA
26	13:79183089:NA:NA
27	13:79184874:NA:NA
28	13:87732349:NA:NA
29	13:96109015:NA:NA
30	13:96109415:NA:NA
31	13:98867200:NA:NA
32	7:101241992:NA:NA
33	7:102894495:NA:NA
34	7:102894895:NA:NA
35	7:105701659:NA:NA
36	7:106716777:NA:NA
37	7:108245289:NA:NA
38	7:110233638:NA:NA
39	7:112570534:NA:NA
40	7:1132196:NA:NA
41	7:1132596:NA:NA
42	7:116651304:NA:NA
43	7:117014424:NA:NA
44	7:117222767:NA:NA
45	7:126090116:NA:NA
46	7:126091516:NA:NA
47	7:127284707:NA:NA
48	7:128707017:NA:NA
49	7:131012689:NA:NA
50	7:133434029:NA:NA
51	7:134890788:NA:NA
52	7:135433254:NA:NA
53	7:154473000:NA:NA
54	7:156172569:NA:NA
55	7:158807292:NA:NA
56	7:2205783:NA:NA
57	7:23054079:NA:NA
58	7:2306762:NA:NA
59	7:24820130:NA:NA
60	7:24910158:NA:NA
61	7:2775949:NA:NA
62	7:29359330:NA:NA
63	7:29366049:NA:NA
64	7:29366449:NA:NA
65	7:30324099:NA:NA
66	7:33502889:NA:NA
67	7:35294118:NA:NA
68	7:39698659:NA:NA
69	7:41057942:NA:NA
70	7:43526533:NA:NA
71	7:43910767:NA:NA
72	7:46605126:NA:NA
73	7:56119485:NA:NA
74	7:5622429:NA:NA
75	7:6260572:NA:NA
76	7:64909409:NA:NA
77	7:69764555:NA:NA
78	7:72863167:NA:NA
79	7:73259869:NA:NA
80	7:75745459:NA:NA
81	7:76044686:NA:NA
82	7:76905413:NA:NA
83	7:90506769:NA:NA
84	7:94023421:NA:NA
85	7:94438001:NA:NA
86	7:96904234:NA:NA
87	7:98591887:NA:NA
88	7:99432011:NA:NA
89	7:99433411:NA:NA
90	7:99433811:NA:NA
